1937,ACTOR,William Powell,My Man Godfrey,False
1937,ACTOR,Spencer Tracy,San Francisco,False
1937,ACTOR IN A SUPPORTING ROLE,Mischa Auer,My Man Godfrey,False
1937,ACTOR IN A SUPPORTING ROLE,Walter Brennan,Come and Get It,True
1937,ACTOR IN A SUPPORTING ROLE,Stuart Erwin,Pigskin Parade,False
1937,ACTOR IN A SUPPORTING ROLE,Basil Rathbone,Romeo and Juliet,False
1937,ACTOR IN A SUPPORTING ROLE,Akim Tamiroff,The General Died at Dawn,False
1937,ACTRESS,Irene Dunne,Theodora Goes Wild,False
1937,ACTRESS,Gladys George,Valiant Is the Word for Carrie,False
1937,ACTRESS,Carole Lombard,My Man Godfrey,False
1937,ACTRESS,Luise Rainer,The Great Ziegfeld,True
1937,ACTRESS,Norma Shearer,Romeo and Juliet,False
1937,ACTRESS IN A SUPPORTING ROLE,Beulah Bondi,The Gorgeous Hussy,False
1937,ACTRESS IN A SUPPORTING ROLE,Alice Brady,My Man Godfrey,False
1937,ACTRESS IN A SUPPORTING ROLE,Bonita Granville,These Three,False
1937,ACTRESS IN A SUPPORTING ROLE,Maria Ouspenskaya,Dodsworth,False
1937,ACTRESS IN A SUPPORTING ROLE,Gale Sondergaard,Anthony Adverse,True
1937,DIRECTING,William Wyler,Dodsworth,False
1937,DIRECTING,Robert Z. Leonard,The Great Ziegfeld,False
1937,DIRECTING,Frank Capra,Mr. Deeds Goes to Town,True
1937,DIRECTING,Gregory La Cava,My Man Godfrey,False
1937,DIRECTING,W. S. Van Dyke,San Francisco,False
1938,ACTOR,Charles Boyer,Conquest,False
1938,ACTOR,Fredric March,A Star Is Born,False
1938,ACTOR,Robert Montgomery,Night Must Fall,False
1938,ACTOR,Paul Muni,The Life of Emile Zola,False
1938,ACTOR,Spencer Tracy,Captains Courageous,True
1938,ACTOR IN A SUPPORTING ROLE,Ralph Bellamy,The Awful Truth,False
1938,ACTOR IN A SUPPORTING ROLE,Thomas Mitchell,The Hurricane,False
1938,ACTOR IN A SUPPORTING ROLE,Joseph Schildkraut,The Life of Emile Zola,True
1938,ACTOR IN A SUPPORTING ROLE,H. B. Warner,Lost Horizon,False
1938,ACTOR IN A SUPPORTING ROLE,Roland Young,Topper,False
1938,ACTRESS,Irene Dunne,The Awful Truth,False
1938,ACTRESS,Greta Garbo,Camille,False
1938,ACTRESS,Janet Gaynor,A Star Is Born,False
1938,ACTRESS,Luise Rainer,The Good Earth,True
1938,ACTRESS,Barbara Stanwyck,Stella Dallas,False
1938,ACTRESS IN A SUPPORTING ROLE,Alice Brady,In Old Chicago,True
1938,ACTRESS IN A SUPPORTING ROLE,Andrea Leeds,Stage Door,False
1938,ACTRESS IN A SUPPORTING ROLE,Anne Shirley,Stella Dallas,False
1938,ACTRESS IN A SUPPORTING ROLE,Claire Trevor,Dead End,False
1938,ACTRESS IN A SUPPORTING ROLE,Dame May Whitty,Night Must Fall,False
1938,DIRECTING,Leo McCarey,The Awful Truth,True
1938,DIRECTING,Sidney Franklin,The Good Earth,False
1938,DIRECTING,William Dieterle,The Life of Emile Zola,False
1938,DIRECTING,Gregory La Cava,Stage Door,False
1938,DIRECTING,William Wellman,A Star Is Born,False
1939,ACTOR,Charles Boyer,Algiers,False
1939,ACTOR,James Cagney,Angels with Dirty Faces,False
1939,ACTOR,Robert Donat,The Citadel,False
1939,ACTOR,Leslie Howard,Pygmalion,False
1939,ACTOR,Spencer Tracy,Boys Town,True
